object_type,page_number,x0,x1,y0,y1,doctop,top,bottom,width,height,adv,evenodd,fill,fontname,linewidth,matrix,mcid,ncs,non_stroking_color,non_stroking_pattern,pts,size,stroke,stroking_color,stroking_pattern,tag,text,upright
rect,1,33.12,975.36,550.3,588.0039999999999,23.996000000000095,23.996000000000095,61.700000000000045,942.24,37.70399999999995,,1,1,,0,,,,"(0.8, 1, 1)",,"[(33.12, 61.700000000000045), (975.36, 61.700000000000045), (975.36, 23.996000000000095), (33.12, 23.996000000000095)]",,0,,,,,
rect,1,33.12,111.624,532.54,550.54,61.460000000000036,61.460000000000036,79.46000000000004,78.50399999999999,18.0,,1,1,,0,,,,"(0.8, 1, 1)",,"[(33.12, 79.46000000000004), (111.624, 79.46000000000004), (111.624, 61.460000000000036), (33.12, 61.460000000000036)]",,0,,,,,
rect,1,111.38,292.63,532.54,550.54,61.460000000000036,61.460000000000036,79.46000000000004,181.25,18.0,,1,1,,0,,,,"(1, 1, 0)",,"[(111.38, 79.46000000000004), (292.63, 79.46000000000004), (292.63, 61.460000000000036), (111.38, 61.460000000000036)]",,0,,,,,
rect,1,292.39,406.40999999999997,532.54,550.54,61.460000000000036,61.460000000000036,79.46000000000004,114.01999999999998,18.0,,1,1,,0,,,,"(0.863, 0.902, 0.945)",,"[(292.39, 79.46000000000004), (406.40999999999997, 79.46000000000004), (406.40999999999997, 61.460000000000036), (292.39, 61.460000000000036)]",,0,,,,,
rect,1,406.18,520.2,532.54,550.54,61.460000000000036,61.460000000000036,79.46000000000004,114.02000000000004,18.0,,1,1,,0,,,,"(0.992, 0.914, 0.851)",,"[(406.18, 79.46000000000004), (520.2, 79.46000000000004), (520.2, 61.460000000000036), (406.18, 61.460000000000036)]",,0,,,,,
rect,1,519.96,633.98,532.54,550.54,61.460000000000036,61.460000000000036,79.46000000000004,114.01999999999998,18.0,,1,1,,0,,,,"(0.855, 0.933, 0.953)",,"[(519.96, 79.46000000000004), (633.98, 79.46000000000004), (633.98, 61.460000000000036), (519.96, 61.460000000000036)]",,0,,,,,
rect,1,633.74,709.844,532.54,550.54,61.460000000000036,61.460000000000036,79.46000000000004,76.10400000000004,18.0,,1,1,,0,,,,"(1, 1, 0.8)",,"[(633.74, 79.46000000000004), (709.844, 79.46000000000004), (709.844, 61.460000000000036), (633.74, 61.460000000000036)]",,0,,,,,
rect,1,709.61,823.63,532.54,550.54,61.460000000000036,61.460000000000036,79.46000000000004,114.01999999999998,18.0,,1,1,,0,,,,"(0.922, 0.945, 0.871)",,"[(709.61, 79.46000000000004), (823.63, 79.46000000000004), (823.63, 61.460000000000036), (709.61, 61.460000000000036)]",,0,,,,,
rect,1,823.39,937.41,532.54,550.54,61.460000000000036,61.460000000000036,79.46000000000004,114.01999999999998,18.0,,1,1,,0,,,,"(0.949, 0.863, 0.859)",,"[(823.39, 79.46000000000004), (937.41, 79.46000000000004), (937.41, 61.460000000000036), (823.39, 61.460000000000036)]",,0,,,,,
rect,1,937.18,975.3639999999999,532.54,550.54,61.460000000000036,61.460000000000036,79.46000000000004,38.18399999999997,18.0,,1,1,,0,,,,"(0.8, 1, 1)",,"[(937.18, 79.46000000000004), (975.3639999999999, 79.46000000000004), (975.3639999999999, 61.460000000000036), (937.18, 61.460000000000036)]",,0,,,,,
rect,1,33.12,111.624,129.17,532.78,79.22000000000003,79.22000000000003,482.83000000000004,78.50399999999999,403.61,,1,1,,0,,,,"(0.8, 1, 1)",,"[(33.12, 482.83000000000004), (111.624, 482.83000000000004), (111.624, 79.22000000000003), (33.12, 79.22000000000003)]",,0,,,,,
rect,1,111.38,520.2,129.17,532.78,79.22000000000003,79.22000000000003,482.83000000000004,408.82000000000005,403.61,,1,1,,0,,,,"(1,)",,"[(111.38, 482.83000000000004), (520.2, 482.83000000000004), (520.2, 79.22000000000003), (111.38, 79.22000000000003)]",,0,,,,,
rect,1,519.96,633.98,129.17,532.78,79.22000000000003,79.22000000000003,482.83000000000004,114.01999999999998,403.61,,1,1,,0,,,,"(1,)",,"[(519.96, 482.83000000000004), (633.98, 482.83000000000004), (633.98, 79.22000000000003), (519.96, 79.22000000000003)]",,0,,,,,
rect,1,633.74,709.844,129.17,532.78,79.22000000000003,79.22000000000003,482.83000000000004,76.10400000000004,403.61,,1,1,,0,,,,"(0.933, 0.925, 0.882)",,"[(633.74, 482.83000000000004), (709.844, 482.83000000000004), (709.844, 79.22000000000003), (633.74, 79.22000000000003)]",,0,,,,,
